"especies","registros","min_year","max_year"
NULL,559,1853,2022
"Epidendrum melinanthum",28,1987,2022
"Rodriguezia granadensis",27,1995,2023
"Cattleya quadricolor",26,1946,2021
"Catasetum ochraceum",21,1959,2022
"Epidendrum radicans",18,1959,2023
"Comparettia falcata",16,1975,2022
"Prosthechea livida",16,2010,2018
"Cleistes rosea",15,1939,2022
"Epidendrum fimbriatum",14,1939,2021
"Epidendrum elongatum",13,1941,1984
"Elleanthus aurantiacus",13,1966,2022
"Cyrtopodium paniculatum",12,1987,2018
"Cyrtochilum meirax",11,1969,2021
"Dimerandra emarginata",11,1998,2022
"Stelis argentata",11,1999,2022
"Habenaria monorrhiza",10,1939,2021
"Xylobium leontoglossum",10,1976,2013
"Sobralia roezlii",10,1983,2021
"Maxillaria friedrichsthalii",10,1988,2010
"Arundina graminifolia",10,1997,2022
"Trizeuxis falcata",10,1998,2022
"Trichocentrum carthagenense",10,2007,2019
"Oeceoclades maculata",10,2007,2020
"Erycina pusilla",9,1882,2023
"Pleurothallis cordata",9,1953,2022
"Rodriguezia lanceolata",9,1969,2020
"Epidendrum rigidum",8,1922,2018
"Elleanthus lancifolius",8,1939,2011
"Epidendrum nocturnum",8,1969,2013
"Sobralia pulcherrima",8,1979,2019
"Maxillaria equitans",8,1983,2018
"Oncidium abortivum",8,1983,2019
"Epidendrum lacustre",8,1995,2015
"Jacquiniella globosa",8,1998,2018
"Ponthieva fertilis",7,1882,2023
"Eulophia alta",7,1969,2011
"Scaphyglottis prolifera",7,1981,2018
"Cyclopogon elatus",6,1938,2021
"Vanilla odorata",6,1938,2022
"Maxillaria acuminata",6,1939,2019
"Epidendrum secundum",6,1946,1984
"Epidendrum peperomia",6,1962,2020
"Sobralia rosea",6,1966,2017
"Scaphyglottis longicaulis",6,1969,1989
"Oncidium chrysomorphum",6,1971,2022
"Specklinia grobyi",6,1972,1990
"Phragmipedium longifolium",6,1974,2021
"Laelia splendida",6,1974,2021
"Campylocentrum micranthum",6,1975,2022
"Cyrtochilum pardinum",6,1977,2021
"Cyrtochilum flexuosum",6,1980,2018
"Maxillaria aurea",6,1985,1998
"Microchilus giraldo-gensinii",6,1994,1996
"Pleurothallis calvariola",6,2007,2009
"Pelexia olivacea",6,2010,2020
"Sobralia virginalis",6,2010,2022
"Epidendrum lanipes",6,2010,2023
"Epidendrum porquerense",6,2013,2018
"Oncidium adelaidae",6,2014,2023
"Stelis spathulata",5,1922,2015
"Sobralia violacea",5,1934,2011
"Maxillaria nanegalensis",5,1970,1980
"Epidendrum leucochilum",5,1976,2021
"Maxillaria caucana",5,1976,2023
"Epidendrum geminiflorum",5,1979,2018
"Epidendrum ibaguense",5,1980,2020
"Epidendrum wallisii",5,1980,2022
