"species","reg_gbif"
"Rhizophora mangle",1279
NULL,513
"Myrsine guianensis",453
"Guadua angustifolia",254
"Machaerium capote",225
"Calliandra pittieri",223
"Inga edulis",168
"Trichanthera gigantea",149
"Zanthoxylum verrucosum",129
"Cecropia angustifolia",117
"Quercus humboldtii",89
"Ochroma pyramidale",89
"Casearia americana",80
"Heliocarpus americanus",75
"Ficus americana",72
"Ficus insipida",69
"Erythrina fusca",64
"Andesanthus lepidotus",62
"Ficus tonduzii",50
"Cecropia telealba",49
"Ficus obtusifolia",49
"Inga marginata",45
"Erythrina poeppigiana",43
"Weinmannia pubescens",43
"Inga densiflora",40
"Inga oerstediana",40
"Cecropia obtusifolia",38
"Cecropia peltata",37
"Cecropia virgusa",37
"Ficus benjamina",36
"Ficus trianae",31
"Ficus brevibracteata",29
"Inga polita",24
"Inga gracilior",23
"Salix humboldtiana",23
"Brownea ariza",23
"Inga ornata",22
"Inga punctata",22
"Ficus velutina",20
"Ficus maxima",19
"Inga vera",19
"Inga sapindoides",19
"Inga laurina",18
"Ficus zarzalensis",17
"Crateva tapia",17
"Inga acreana",16
"Cecropia garciae",15
"Cecropia megastachya",15
"Ficus mutisii",15
"Ficus pertusa",15
"Inga capitata",14
"Inga ruiziana",14
"Inga coruscans",14
"Ficus citrifolia",13
"Erythrina edulis",13
"Inga sertulifera",13
"Ficus calimana",12
"Ficus schippii",12
"Ficus cuatrecasana",12
"Inga pezizifera",11
"Tessaria integrifolia",11
"Inga sierrae",11
"Inga chocoensis",11
"Bambusa vulgaris",11
"Ficus hartwegii",11
"Cecropia hispidissima",10
"Xylopia ligustrifolia",10
"Inga cocleensis",10
"Inga cinnamomea",10
"Cecropia reticulata",9
"Cecropia insignis",9
"Inga spectabilis",9
"Ficus crocata",9
"Inga venusta",9
"Inga thibaudiana",8
"Ficus elastica",8
"Inga laevigata",8
"Cecropia membranacea",8
"Alnus acuminata",7
"Ficus valaria",7
"Inga acrocephala",6
"Podocarpus oleifolius",6
"Ficus gigantosyce",6
"Ficus macbridei",6
"Inga nobilis",6
"Inga chartacea",6
"Inga villosissima",5
"Inga multijuga",5
"Ficus trigona",5
"Ficus nymphaeifolia",4
"Inga lopadadenia",4
"Inga macrophylla",4
"Cecropia subintegra",4
"Cecropia bullata",4
"Inga multinervis",4
"Inga cayennensis",4
"Inga pseudoinvolucrata",3
"Inga flexuosa",3
"Ficus dendrocida",3
"Ficus pumila",3
"Inga yasuniana",3
"Ficus cuatrecasasiana",3
"Ficus crassiuscula",3
"Ficus yoponensis",3
"Cecropia mutisiana",3
"Ficus coerulescens",3
"Ficus trigonata",2
"Inga tomentosa",2
"Ficus tequendamae",2
"Inga affinis",2
"Inga vismiifolia",2
"Ficus pallida",2
"Panopsis metcalfii",2
"Ficus paraensis",2
"Inga jefensis",2
"Ficus caldasiana",2
"Smallanthus pyramidalis",2
"Cecropia telenitida",2
"Ficus religiosa",2
"Inga ingoides",2
"Inga feuillei",2
"Cecropia albicans",1
"Inga alba",1
"Inga ciliata",1
"Inga cylindrica",1
"Ficus rubiginosa",1
"Inga flagelliformis",1
"Inga glomeriflora",1
"Inga goldmanii",1
"Inga leptocarpa",1
"Inga longipes",1
"Inga longispica",1
"Inga manabiensis",1
"Ficus hirtella",1
"Ficus fresnoensis",1
"Ficus excavata",1
"Inga rubiginosa",1
"Ficus dulciaria",1
"Ficus drupacea",1
"Ficus donnell-smithii",1
"Ficus dewolfii",1
"Inga striata",1
"Inga tenuis",1
"Inga tenuistipula",1
"Ficus cyathistipula",1
"Inga umbellifera",1
"Inga umbratica",1
"Inga velutina",1
"Ficus cuspidata",1
"Ficus cundinamarcensis",1
"Ficus castellviana",1
"Ficus assamica",1
"Cecropia heterochroma",1
"Inga acuminata",1
