"destino_ec","area_total_has","num_predios"
"D",565598.785756247,29066
"I",90523.6477807441,831
"A",56731.6205350596,10882
NULL,31239.4204307397,947
"N",6113.34649299298,19
"L",824.090900393072,57
"O",808.754083105216,19
"G",801.052820291816,730
"K",641.181699577346,285
"J",447.707374516253,139
"B",407.542195972484,117
"P",136.264296919774,271
"C",121.934804199655,93
"F",49.9233037142809,70
"R",21.9943881381591,175
"M",20.5686019555046,1
"H",14.4178341009021,38
"S",10.3752245527688,482
"T",8.38897423155841,38
"E",4.4382070333454,3
"Q",0.678324774758592,23
