"municipio","priv_excr","pob_total","prc_priv_excr"
"BUENAVENTURA",10448,43484,24.027228405850427744000
"DAGUA",2754,29552,9.319166215484569572000
"TRUJILLO",2453,8809,27.846520603927801112000
"BOLÍVAR",2423,10140,23.895463510848126233000
"EL ÁGUILA",2398,5224,45.903522205206738132000
"EL CAIRO",1607,3591,44.750765803397382345000
"BUGALAGRANDE",1602,10532,15.210786175465248766000
"TULUÁ",1468,30930,4.746201099256385386000
"SEVILLA",1336,8370,15.961768219832735962000
"EL DOVIO",1111,3326,33.403487672880336741000
"VERSALLES",844,2962,28.494260634706279541000
"JAMUNDÍ",844,25853,3.264611457084284222000
"FLORIDA",732,16406,4.461782274777520419000
"RIOFRÍO",692,7692,8.996359854394175767000
"ARGELIA",651,2411,27.001244296972210701000
"LA UNIÓN",609,4947,12.310491206791995149000
"ROLDANILLO",497,7889,6.299911268855368234000
"CAICEDONIA",475,4601,10.323842642903716583000
"OBANDO",438,2898,15.113871635610766046000
"ANSERMANUEVO",431,5710,7.548161120840630473000
"RESTREPO",398,4172,9.539789069990412272000
"BUGA",358,14717,2.432560983896174492000
"PRADERA",347,5068,6.846882399368587214000
"CALI",340,41131,0.826627118231990469000
"CALIMA",323,5216,6.192484662576687117000
"TORO",310,3736,8.297644539614561028000
"EL CERRITO",300,19344,1.550868486352357320000
"LA CUMBRE",297,10080,2.946428571428571429000
"YOTOCO",276,7057,3.911010344338954230000
"CARTAGO",238,2824,8.427762039660056657000
"CANDELARIA",235,62498,0.376012032385036321000
"GINEBRA",218,10444,2.087322864802757564000
"GUACARÍ",198,11553,1.713840560893274474000
"SAN PEDRO",195,8500,2.294117647058823529000
"ANDALUCÍA",186,3716,5.005382131324004306000
"YUMBO",171,10353,1.651695160822949870000
"PALMIRA",170,65368,0.260066087382205360000
"ALCALÁ",158,2622,6.025934401220442410000
"VIJES",145,3183,4.555450832547910776000
"ZARZAL",114,9536,1.195469798657718121000
"LA VICTORIA",63,3006,2.095808383233532934000
"ULLOA",40,2573,1.554605518849591916000
