"municipio","perslimit"
"DAGUA",1572
"BUENAVENTURA",1143
"CALI",1016
"YOTOCO",898
"BUGALAGRANDE",883
"YUMBO",625
"SEVILLA",536
"CARTAGO",533
"CAICEDONIA",520
"VERSALLES",482
"VIJES",479
"ANSERMANUEVO",474
"CALIMA",416
"JAMUNDÍ",363
"FLORIDA",363
"RIOFRÍO",350
"ALCALÁ",343
"TULUÁ",343
"CANDELARIA",333
"EL ÁGUILA",322
"BUGA",300
"TRUJILLO",275
"PALMIRA",267
"LA CUMBRE",257
"OBANDO",245
"GINEBRA",242
"GUACARÍ",239
"EL CERRITO",233
"BOLÍVAR",204
"EL CAIRO",194
"ZARZAL",188
"PRADERA",151
"EL DOVIO",146
"LA VICTORIA",144
"TORO",90
"ANDALUCÍA",88
"ROLDANILLO",77
"RESTREPO",73
"ARGELIA",58
