"municipio","primaria","secundaria","profesional","postgrado","ninguno"
"PALMIRA",18801,8552,6992,39,1962
"CANDELARIA",15144,4953,6439,13,1705
"BUENAVENTURA",15048,5281,1151,54,3482
"DAGUA",11238,4153,1307,39,1545
"TULUÁ",9861,2098,1954,19,1683
"CALI",9291,4224,4126,471,1201
"JAMUNDÍ",8015,3703,1251,251,1655
"EL CERRITO",4983,3147,1816,0,714
"FLORIDA",4691,1838,1223,7,812
"BUGA",4535,850,1096,0,659
"BUGALAGRANDE",4009,296,336,0,794
"GINEBRA",3817,973,428,0,312
"SEVILLA",3563,416,151,0,730
"LA CUMBRE",3329,1734,721,27,565
"GUACARÍ",3251,2421,931,4,534
"TRUJILLO",3247,444,122,0,875
"BOLÍVAR",3187,156,138,0,1011
"YUMBO",2766,2178,1120,111,468
"RIOFRÍO",2716,96,175,3,577
"SAN PEDRO",2604,253,649,21,383
"ZARZAL",2504,634,946,0,481
"YOTOCO",2489,730,321,0,402
"EL ÁGUILA",2483,320,58,0,579
"ANSERMANUEVO",2393,694,36,3,616
"ROLDANILLO",2351,1335,348,0,426
"CALIMA",2170,425,323,0,260
"CAICEDONIA",1963,548,180,0,387
"EL CAIRO",1775,0,32,0,292
"LA UNIÓN",1662,442,134,0,290
"PRADERA",1582,378,293,0,303
"RESTREPO",1503,607,197,0,313
"TORO",1435,216,18,0,336
"EL DOVIO",1373,412,25,0,503
"VIJES",1311,232,71,0,209
"ANDALUCÍA",1281,180,243,0,202
"VERSALLES",1199,48,5,0,290
"ALCALÁ",1161,608,172,14,200
"ARGELIA",1123,150,38,0,306
"OBANDO",981,113,60,0,229
"ULLOA",980,0,96,0,216
"LA VICTORIA",872,237,56,0,228
"CARTAGO",823,434,269,0,152
