"municipio","pob_rural"
"CANDELARIA",94168
"CALI",51658
"BUENAVENTURA",41975
"PALMIRA",32903
"DAGUA",26785
"EL CERRITO",24380
"JAMUNDÍ",23444
"GINEBRA",21991
"BUGALAGRANDE",20892
"ANDALUCÍA",15533
"BUGA",15423
"TULUÁ",15232
"GUACARÍ",12986
"FLORIDA",11234
"YOTOCO",10722
"ZARZAL",10675
"ANSERMANUEVO",10568
"YUMBO",9675
"VERSALLES",8565
"BOLÍVAR",8210
"RIOFRÍO",8124
"SEVILLA",7685
"CAICEDONIA",6549
"LA VICTORIA",5904
"VIJES",5683
"CALIMA",5165
"CARTAGO",5080
"TRUJILLO",3686
"EL ÁGUILA",3620
"ALCALÁ",3396
"LA CUMBRE",3362
"OBANDO",3284
"EL DOVIO",2989
"EL CAIRO",2523
"TORO",2311
"ROLDANILLO",2133
"PRADERA",1809
"RESTREPO",954
"ARGELIA",748
