"municipio","unid_mx_agro","predios_agro"
"FLORIDA",66,6184
"JAMUNDÍ",140,2339
"TULUÁ",20,1886
"ROLDANILLO",31,1826
"PALMIRA",18,1400
"CANDELARIA",23,1323
"CALI",19,1238
"RIOFRÍO",4,1208
"EL DOVIO",268,1112
"TORO",789,999
"ZARZAL",16,898
"LA VICTORIA",50,761
"EL CERRITO",4,734
"EL CAIRO",1,710
"VERSALLES",1,709
"LA CUMBRE",3,667
"LA UNIÓN",15,663
"SEVILLA",82,655
"ANSERMANUEVO",1,611
"YOTOCO",250,606
"EL ÁGUILA",5,538
"CALIMA",20,515
"GUACARÍ",2,482
"PRADERA",16,471
"BUGALAGRANDE",51,443
"ARGELIA",0,417
"RESTREPO",15,367
"BUGA",107,332
"SAN PEDRO",60,322
"VIJES",9,298
"YUMBO",5,272
"ULLOA",1,241
"GINEBRA",4,193
"BOLÍVAR",2,148
"CARTAGO",1,130
"OBANDO",29,121
"CAICEDONIA",4,115
"ALCALÁ",5,55
"DAGUA",4,54
"BUENAVENTURA",16,16
"TRUJILLO",0,12
"ANDALUCÍA",1,5
