"municipio","vvsn_alct","tot_viviendas","porc"
"BUENAVENTURA",10408,15433,67.439901509751830493000
"DAGUA",7434,17612,42.209856915739268680000
"CALI",5523,16723,33.026370866471326915000
"PALMIRA",5489,26753,20.517325159795163159000
"JAMUNDÍ",4761,11355,41.928665785997357992000
"YUMBO",3431,6883,49.847450239721051867000
"LA CUMBRE",2799,7346,38.102368635992376804000
"CANDELARIA",2444,19350,12.630490956072351421000
"TULUÁ",2432,12542,19.390846754903524159000
"SEVILLA",2239,3822,58.581894296180010466000
"BUGA",1931,5939,32.513891227479373632000
"FLORIDA",1850,6113,30.263373139211516440000
"TRUJILLO",1587,3368,47.119952494061757720000
"CALIMA",1543,3829,40.297727866283624967000
"YOTOCO",1533,3060,50.098039215686274510000
"EL CERRITO",1495,7897,18.931239711282765607000
"BOLÍVAR",1487,4419,33.650147092102285585000
"ROLDANILLO",1467,3575,41.034965034965034965000
"BUGALAGRANDE",1462,3961,36.909871244635193133000
"RIOFRÍO",1430,3468,41.234140715109573241000
"ANDALUCÍA",1420,1822,77.936333699231613611000
"PRADERA",1391,2140,65.000000000000000000000
"GINEBRA",1321,4044,32.665677546983184965000
"ANSERMANUEVO",1293,3591,36.006683375104427736000
"RESTREPO",1161,2066,56.195546950629235237000
"CAICEDONIA",1145,1961,58.388577256501784804000
"GUACARÍ",1121,4994,22.446936323588305967000
"TORO",1045,1842,56.731813246471226927000
"EL ÁGUILA",991,2605,38.042226487523992322000
"VIJES",873,2051,42.564602632862018528000
"ALCALÁ",852,1878,45.367412140575079872000
"EL CAIRO",791,2155,36.705336426914153132000
"EL DOVIO",773,1502,51.464713715046604527000
"SAN PEDRO",721,3004,24.001331557922769640000
"LA UNIÓN",707,2306,30.659150043365134432000
"ARGELIA",666,1037,64.223722275795564127000
"ZARZAL",629,4156,15.134744947064485082000
"VERSALLES",619,1651,37.492428831011508177000
"CARTAGO",525,1391,37.742631200575125809000
"ULLOA",498,1077,46.239554317548746518000
"LA VICTORIA",361,1574,22.935196950444726811000
"OBANDO",156,1458,10.699588477366255144000
