"municipio","vvsn_gas","tot_viviendas","porc"
"BUENAVENTURA",11050,15433,71.59981857059547
"DAGUA",9629,17612,54.672950261185555
"CALI",8789,16723,52.55635950487353
"JAMUNDÍ",7128,11355,62.77410832232497
"PALMIRA",6034,26753,22.55447987141629
"YUMBO",4038,6883,58.66627923870406
"TULUÁ",3708,12542,29.564662733216394
"LA CUMBRE",3175,7346,43.22080043561122
"SEVILLA",2975,3822,77.83882783882784
"BOLÍVAR",2727,4419,61.710794297352344
"BUGALAGRANDE",2498,3961,63.06488260540267
"BUGA",2428,5939,40.88230341808385
"RIOFRÍO",2395,3468,69.05997693194925
"FLORIDA",2327,6113,38.06641583510551
"CANDELARIA",2261,19350,11.684754521963825
"TRUJILLO",2248,3368,66.7458432304038
"YOTOCO",1783,3060,58.26797385620915
"ANSERMANUEVO",1776,3591,49.45697577276525
"EL CERRITO",1741,7897,22.046346713942004
"GINEBRA",1706,4044,42.18595450049456
"CALIMA",1656,3829,43.24889004962131
"EL ÁGUILA",1623,2605,62.30326295585413
"CAICEDONIA",1535,1961,78.27638959714432
"ROLDANILLO",1356,3575,37.93006993006993
"GUACARÍ",1341,4994,26.85222266720064
"RESTREPO",1287,2066,62.29428848015489
"PRADERA",1191,2140,55.654205607476634
"EL CAIRO",1134,2155,52.62180974477958
"TORO",1108,1842,60.15200868621064
"SAN PEDRO",1085,3004,36.1185086551265
"VIJES",1060,2051,51.68210628961482
"ZARZAL",974,4156,23.43599615014437
"OBANDO",960,1458,65.84362139917695
"VERSALLES",935,1651,56.632344033918834
"EL DOVIO",923,1502,61.451398135818906
"ALCALÁ",891,1878,47.44408945686901
"LA UNIÓN",804,2306,34.86556808326106
"ARGELIA",796,1037,76.75988428158149
"CARTAGO",741,1391,53.271028037383175
"ANDALUCÍA",726,1822,39.846322722283205
"ULLOA",593,1077,55.06035283194058
"LA VICTORIA",567,1574,36.02287166454892
