"municipio","vvsn_rcbas","tot_viviendas","porc"
"BUENAVENTURA",9348,15433,60.571502624246743990000
"DAGUA",4884,17612,27.731092436974789916000
"JAMUNDÍ",3894,11355,34.293262879788639366000
"SEVILLA",2641,3822,69.099947671376242805000
"TULUÁ",2325,12542,18.537713283367883910000
"FLORIDA",2044,6113,33.436937673809913300000
"PALMIRA",1879,26753,7.023511381901095204000
"BOLÍVAR",1816,4419,41.095270423172663499000
"LA CUMBRE",1723,7346,23.454941464742717125000
"RIOFRÍO",1693,3468,48.817762399077277970000
"TRUJILLO",1587,3368,47.119952494061757720000
"YOTOCO",1458,3060,47.647058823529411765000
"ANSERMANUEVO",1428,3591,39.766081871345029240000
"CAICEDONIA",1300,1961,66.292707802141764406000
"GINEBRA",1272,4044,31.454005934718100890000
"ROLDANILLO",1165,3575,32.587412587412587413000
"EL ÁGUILA",1134,2605,43.531669865642994242000
"BUGALAGRANDE",1132,3961,28.578641757132037364000
"BUGA",1110,5939,18.690015154066341135000
"VIJES",1033,2051,50.365675280351048269000
"RESTREPO",993,2066,48.063891577928363988000
"YUMBO",942,6883,13.685892779311346796000
"GUACARÍ",901,4994,18.041649979975971165000
"VERSALLES",879,1651,53.240460327074500303000
"EL CAIRO",874,2155,40.556844547563805104000
"ANDALUCÍA",848,1822,46.542261251372118551000
"CALI",848,16723,5.070860491538599534000
"PRADERA",840,2140,39.252336448598130841000
"EL DOVIO",805,1502,53.595206391478029294000
"EL CERRITO",716,7897,9.066734202861846271000
"ARGELIA",695,1037,67.020250723240115718000
"LA UNIÓN",695,2306,30.138768430182133565000
"CALIMA",691,3829,18.046487333507443197000
"OBANDO",678,1458,46.502057613168724280000
"CARTAGO",608,1391,43.709561466570812365000
"CANDELARIA",576,19350,2.976744186046511628000
"SAN PEDRO",517,3004,17.210386151797603196000
"ZARZAL",491,4156,11.814244465832531280000
"TORO",460,1842,24.972855591748099891000
"ALCALÁ",407,1878,21.671991480298189563000
"LA VICTORIA",385,1574,24.459974587039390089000
"ULLOA",342,1077,31.754874651810584958000
